topico,conteudo,fonte
Windows Update Falhando,"Para corrigir atualizações que falham repetidamente, pare o serviço Windows Update, renomeie a pasta C:\Windows\SoftwareDistribution e reinicie o serviço para forçar um novo download limpo.",Microsoft Learn (Docs)
Recuperação de Senha do Roteador,Roteadores corporativos sem acesso por senha administrativa devem ser resetados fisicamente. Pressione o botão 'Reset' por 15 segundos usando um clipe de papel para restaurar as credenciais padrão de fábrica.,Documentação Cisco e Clube do Hardware
Erro de Permissão no OneDrive,"Se o OneDrive relatar que não tem permissão para sincronizar, verifique se o usuário tem permissão de leitura e gravação na pasta local raiz do OneDrive nas propriedades de Segurança do NTFS.",Comunidade Super User e Fóruns de TI
Mouse Sem Fio Com Atraso,Atraso (input lag) em mouses sem fio ocorre por interferência ou distância. Conecte o receptor USB em uma porta frontal ou use um cabo extensor para deixá-lo mais próximo do mouse.,Comunidade Super User e Fóruns de TI
Teclado de Notebook Com Teclas Falhando,Teclas específicas que não respondem em notebooks indicam rompimento da trilha na membrana do teclado. A solução definitiva é a substituição física do painel do teclado.,Comunidade Super User e Fóruns de TI
Conta de Usuário Bloqueada no AD,"Contas do Active Directory são bloqueadas após múltiplas tentativas incorretas de senha. O administrador deve acessar o painel de Usuários e Computadores do AD, localizar a conta e desmarcar a opção de bloqueio.",Microsoft Learn (Docs)
Erro de Memória Insuficiente no Chrome,"Se o Chrome exibir erro de falta de memória ('Aw, Snap!'), o sistema ficou sem RAM. Aumente o arquivo de paginação do Windows ou instale mais memória física no equipamento.",Microsoft Learn (Docs)
Configuração de IP Estático,"Para servidores ou impressoras, um IP estático evita perda de comunicação. Acesse as propriedades do adaptador de rede, IPv4, e insira manualmente o endereço IP, máscara de sub-rede e gateway padrão.",Documentação Cisco e Clube do Hardware
Disco SSD Não Reconhecido na Formatação,"Se um SSD NVMe não aparecer na tela de instalação do Windows, é necessário carregar o driver Intel Rapid Storage Technology (IRST) via pendrive durante o setup.",Microsoft Learn (Docs)
Acesso Remoto via AnyDesk Lento,Lentidão extrema em conexões AnyDesk ou TeamViewer está ligada à taxa de upload da máquina host ou à falta de aceleração de hardware de vídeo. Reduzir a qualidade de imagem para 'Velocidade' nas configurações alivia o tráfego.,Fórum Tom's Hardware e Guia do Hardware
Mensagem de Licença do Windows Expirando,O aviso 'Sua licença do Windows expira em breve' em máquinas corporativas indica perda de comunicação com o servidor KMS. Conecte à VPN da empresa e rode 'slmgr /ato' no prompt.,Microsoft Learn (Docs)
Monitor Secundário Piscando,Cintilação em monitores secundários geralmente é causada por cabos HDMI/DisplayPort de baixa qualidade ou danificados. A substituição do cabo por um com certificação adequada resolve o problema.,Comunidade Super User e Fóruns de TI
Erro 500 Internal Server Error,Erros 500 ao acessar sistemas web internos indicam falha no servidor de aplicação. O suporte deve verificar os logs do IIS ou Apache no servidor hospedeiro para identificar a causa da falha no código.,Comunidade de Ajuda do Google
Impressora Offline no Windows,Impressoras de rede aparecem como 'Offline' se o endereço IP delas mudar. Configure uma reserva de IP no roteador e atualize a porta TCP/IP nas propriedades da impressora no Windows.,Microsoft Learn (Docs)
Pasta Compartilhada Pede Credenciais,"Quando o acesso a uma pasta pública de rede exige senha inesperadamente, a 'Descoberta de Rede' ou o 'Compartilhamento sem senha' foram desativados na Central de Rede do Windows da máquina hospedeira.",Microsoft Learn (Docs)
Bateria de Notebook Viciada,"Se a bateria não passa de 0% mesmo conectada, as células internas estão mortas. O equipamento funcionará apenas diretamente na tomada até que a bateria seja fisicamente substituída.",Fórum Tom's Hardware e Guia do Hardware
Erro de Disco 100% no Windows 10,O bug de disco a 100% em HDs mecânicos pode ser amenizado desativando o serviço SysMain (antigo Superfetch) e a Pesquisa do Windows nos Serviços do sistema.,Microsoft Learn (Docs)
Som Saindo Apenas de Um Lado do Fone,"Se o fone foi testado e está normal, o problema pode ser o balanço de áudio do Windows. Vá em Configurações de Som, Propriedades do Dispositivo e centralize o balanço dos canais Esquerdo e Direito.",Microsoft Learn (Docs)
Microfone com Ruído de Fundo Estático,Chiados constantes no microfone são causados por falta de aterramento elétrico no PC ou ganho excessivo. Reduza a 'Sensibilidade/Ganho' nas propriedades do microfone e ative a supressão de ruído no software da placa de som.,Comunidade Super User e Fóruns de TI
Recuperação de E-mail Excluído Definitivamente,"No Outlook com Exchange, e-mails excluídos da lixeira podem ser recuperados em até 30 dias clicando na opção 'Recuperar Itens Excluídos do Servidor' na guia Pasta.",Microsoft Learn (Docs)
Bloqueio de Macro no Excel,"Por segurança, planilhas baixadas da internet com macros (.xlsm) são bloqueadas pelo Windows. Para liberar, clique com o botão direito no arquivo, vá em Propriedades e marque a caixa 'Desbloquear'.",Microsoft Learn (Docs)
Conexão Wi-Fi Desconectando ao Suspender,"Para evitar que downloads caiam quando o PC bloqueia a tela, vá no Gerenciador de Dispositivos, propriedades do adaptador Wi-Fi, aba Gerenciamento de Energia e desmarque 'O computador pode desligar o dispositivo'.",Documentação Cisco e Clube do Hardware
Pendrive Corrompido (Formato RAW),"Unidades em modo RAW perderam a tabela de alocação. Use o comando 'chkdsk X: /f /r' via Prompt de Comando para tentar reparar os setores, substituindo 'X' pela letra do pendrive.",Comunidade Super User e Fóruns de TI
Aplicativo Padrão de PDF Alterado,"Atualizações do Windows costumam redefinir o Edge como leitor de PDF. Clique com o botão direito no arquivo, selecione 'Abrir com > Escolher outro aplicativo', selecione o leitor desejado e marque a caixa para sempre usar este app.",Microsoft Learn (Docs)
Tela Azul IRQL_NOT_LESS_OR_EQUAL,"Este código de BSOD indica que um driver tentou acessar um endereço de memória não autorizado. A atualização dos drivers de chipset e vídeo, além da verificação de integridade da RAM, são as correções recomendadas.",Fórum Tom's Hardware e Guia do Hardware
Celular Corporativo Sem Sinal de Rede,A falta de rede em aparelhos MDM pode ser falha no perfil de APN. Vá nas configurações de rede móvel e redefina os Nomes dos Pontos de Acesso (APNs) para os padrões da operadora.,Documentação Cisco e Clube do Hardware
Erro de Permissão no Google Drive,O acesso negado a documentos do Google Drive ocorre porque a conta logada no navegador não possui autorização do criador. Solicite o acesso clicando no botão exibido na página de bloqueio.,Comunidade de Ajuda do Google
Notificações de Spam no Navegador,"Pop-ups de antivírus falso ou alertas do Chrome originam-se de permissões abusivas. Acesse as Configurações de Site do navegador, vá em Notificações e remova os sites suspeitos da lista de permissões.",Comunidade de Ajuda do Google
Computador Ligando Direto na Tela de Reparo,"Loops de Reparo Automático indicam corrupção no registro do Windows ou arquivos essenciais de boot. Tente usar a opção 'Restaurar o PC' mantendo os arquivos, ou restaure de um ponto de verificação anterior.",Microsoft Learn (Docs)
Webcam Mostrando Imagem Invertida,Imagens espelhadas ou de cabeça para baixo na webcam ocorrem por drivers genéricos instalados pelo Windows. Instale o driver oficial da fabricante do notebook para restabelecer a orientação correta.,Microsoft Learn (Docs)
Cabo de Rede Desconectado,"A mensagem 'Cabo de rede desconectado' com o cabo fisicamente inserido pode indicar cabo quebrado internamente, conectores RJ45 oxidados ou porta do switch queimada. Teste com outro patch cord.",Documentação Cisco e Clube do Hardware
VPN Bloqueada por Antivírus,Firewalls de terceiros (como Kaspersky ou Bitdefender) podem bloquear o tráfego de clientes VPN. Adicione o executável do cliente VPN à lista de exclusões e regras confiáveis do antivírus local.,Documentação Cisco e Clube do Hardware
Sincronização de Relógio Falhando,O relógio do Windows pode apresentar a hora errada se o serviço 'Tempo do Windows' estiver inativo. Inicie o serviço via 'services.msc' e force a sincronização com o servidor 'time.windows.com'.,Microsoft Learn (Docs)
Atalho de Teclado Criando Múltiplas Letras,"Key chattering (teclas digitando duplicado, como 'aassdd') é um defeito físico no switch do teclado mecânico. Pode ser mitigado com softwares anti-chatter ou limpando o switch com limpa-contatos.",Comunidade Super User e Fóruns de TI
Falha ao Conectar Monitor Projetor,"Se o notebook não enviar vídeo ao projetor, a resolução nativa pode ser incompatível. Altere a resolução do Windows para 1080p ou 720p em 60Hz antes de duplicar as telas.",Microsoft Learn (Docs)
Aplicativo Fechando Imediatamente (Crash),Crashs instântaneos em apps da Windows Store (como a Calculadora) são resolvidos rodando o comando 'wsreset.exe' ou reparando o aplicativo através das Configurações de Aplicativos do Windows.,Microsoft Learn (Docs)
Erro DLL Msvcp140.dll e Vcruntime140.dll,Estes erros ocorrem pela ausência das bibliotecas do Visual Studio. Baixe e instale o pacote 'Microsoft Visual C++ Redistributable (x86 e x64)' para resolver o problema estruturalmente.,Microsoft Learn (Docs)
Erro de Autenticação NTLM no Acesso a Pastas,Desconexões usando credenciais antigas são falhas no gerenciador de credenciais do Windows. Limpe os registros antigos acessando 'Gerenciador de Credenciais' no Painel de Controle e remova as senhas salvas da rede.,Microsoft Learn (Docs)
Certificado Digital A3 Não Reconhecido,"Tokens ou smartcards A3 que não aparecem no sistema requerem o gerenciador criptográfico da emissora (ex: SafeSign, Safenet) e a instalação da cadeia de certificados raiz da ICP-Brasil atualizada.",Comunidade Super User e Fóruns de TI
Conexão Intermitente no Cabo de Rede,Quedas constantes usando rede cabeada podem ser causadas por conectores RJ45 mal crimpados. O suporte deve refazer a ponta do cabo utilizando um alicate de crimpagem e testar a continuidade.,Documentação Cisco e Clube do Hardware
Erro no Serviço de Áudio do Windows,"O ícone de alto-falante com um 'X' vermelho significa que o Windows Audio Service parou. Abra o services.msc, localize 'Áudio do Windows' e clique em Iniciar ou Reiniciar.",Microsoft Learn (Docs)
Restauração do Sistema Falhou,Falhas ao aplicar um Ponto de Restauração geralmente acontecem devido ao bloqueio do antivírus. Desative temporariamente a proteção em tempo real e tente restaurar novamente via Modo de Segurança.,Cartilha de Segurança CERT.br
Pesquisa do Windows Não Funciona,"Quando o menu iniciar não digita ou não acha nada, o índice corrompeu. Abra as Opções de Indexação no Painel de Controle, vá em Avançado e clique em 'Recriar' o índice.",Microsoft Learn (Docs)
Limpeza de Fila de Impressão Travada,"Para limpar um documento 'Excluindo...' preso, pare o serviço de Spooler, apague os arquivos na pasta 'C:\Windows\System32\spool\PRINTERS' e inicie o Spooler novamente.",Microsoft Learn (Docs)
Tela do Monitor Fora de Escala,A mensagem 'Out of Range' no monitor indica que a resolução ou a taxa de atualização do PC excedem os limites do painel. Inicie o Windows em 'Modo de Vídeo de Baixa Resolução' e ajuste as configurações.,Microsoft Learn (Docs)
Sincronização de Contatos do Outlook,"Se os contatos do celular corporativo não sincronizam com o Outlook, o aplicativo exige permissão de acesso nativo. Vá nas configurações do smartphone e autorize o Outlook a acessar os 'Contatos'.",Microsoft Learn (Docs)
Câmera Desfocada ou Embaçada,Lentes de webcam ou celulares sujas de gordura dos dedos criam imagens embaçadas. A limpeza física com um pano de microfibra macio resolve a maioria dos problemas de nitidez visual.,Comunidade Super User e Fóruns de TI
"Teclas Invertidas no Mac (@ no lugar de ')""","Ao usar um teclado Windows em um Mac, as teclas de aspas e arroba costumam se inverter. No macOS, vá em Ajustes de Teclado > Teclas Modificadoras e certifique-se de que o layout ISO/ABNT está correto.",Microsoft Learn (Docs)
Erro de Ping Request Timed Out,A resposta 'Esgotado o tempo limite do pedido' ao pingar um servidor indica que a máquina está offline ou o Firewall do servidor está bloqueando o protocolo ICMP (ping). Verifique as regras de entrada do Firewall.,Documentação Cisco e Clube do Hardware
